total_assets,daily_return,annual_rate_of_return,sharpe_ratio,max_drawdown
100420.14506019324,0.004201450601932555,,,
100198.66157304456,-0.002205568285286952,,,
102129.26384833283,0.01926774514728291,,,
103545.97294226778,0.013871725307242233,,,
104026.11536198287,0.004636997519766428,,,
103262.05008230045,-0.007344937153749065,,,
103851.26070366836,0.0057059744688228164,,,
103409.2301311818,-0.0042563813813282225,,,
103639.7169248124,0.0022288802782712835,,,
104785.25615967068,0.011053091120360126,,,
104456.72352584715,-0.003135294466646288,,,
106387.67599713687,0.018485669530041493,,,
106231.53267288784,-0.0014676824433427216,,,
106509.88833916611,0.0026202734656515236,,,
106390.72222318796,-0.0011188267853468048,,,
106977.62554050644,0.005516489643591971,,,
105621.15556437083,-0.01267994096225289,,,
105680.38427376772,0.0005607655879205087,,,
106285.05915600529,0.005721732433060955,,,
106553.47960794884,0.0025254768080766876,,,
107792.06465353802,0.011624069435802742,,,
107711.2194395152,-0.0007500108127872496,,,
108798.57980569021,0.010095144886792529,,,
108986.00725263281,0.0017227012271423536,,,
108358.9511190636,-0.005753547169736084,,,
107544.01100830182,-0.007520745654563621,,,
108386.0506599453,0.00782972146704175,,,
108747.57802124124,0.0033355524912537238,,,
109877.97054378423,0.010394645500263033,,,
109472.08296650568,-0.003693985020562618,,,
110391.99536835046,0.008403168889425716,,,
110889.91529988933,0.004510471342396016,,,
111100.54987161497,0.001899492583757656,,,
110936.85945710508,-0.0014733537745676983,,,
111379.27615473012,0.003988004526089162,,,
112391.43340900166,0.009087482781495515,,,
111758.41229812731,-0.005632289683242475,,,
111765.52173480345,6.36143313952342e-05,,,
111846.0865216731,0.0007208375679650381,,,
112485.60788471522,0.00571786982388689,,,
112630.03194445767,0.0012839336734569162,,,
111332.77230287911,-0.011517883988688693,,,
111238.79230354948,-0.0008441359842721319,,,
110348.21491351785,-0.008005996573582141,,,
108866.22679500897,-0.013430105051271957,,,
109702.75687472458,0.00768401830708032,,,
111097.19089005893,0.0127110207168879,,,
111523.01504709295,0.0038328976063437548,,,
111901.17551088516,0.003390873745948486,,,
112214.4008008222,0.0027991242139058237,,,
112636.93820191348,0.0037654471981833915,,,
113481.92439199859,0.007501856882600855,,,
112797.71574667655,-0.006029230196683888,,,
111994.0926113943,-0.0071244628489378625,,,
112750.37669393884,0.006752892629513507,,,
111238.23502776411,-0.013411411212216562,,,
112086.49035126762,0.007625573376742301,,,
112157.82641688723,0.0006364376776901715,,,
112131.48537367662,-0.0002348569337702333,,,
112802.8201692749,0.005987032039761697,,,
113751.15184331505,0.008406985504591624,,,
113718.34038608096,-0.00028844945042205694,,,
113909.39392291686,0.001680059137226797,,,
113805.46033070522,-0.0009124233623960532,,,
114365.70681499162,0.004922843619791006,,,
114037.10071130244,-0.0028732922905007063,,,
113725.37305215826,-0.0027335635262540903,,,
113838.25222927371,0.00099255930392661,,,
114105.90970415744,0.002351208575696262,,,
114761.14588397097,0.005742350957214759,,,
114945.86400564369,0.0016095876374351281,,,
115393.2650353798,0.003892276017118279,,,
115405.65748693536,0.00010739319623009891,,,
115287.98448303473,-0.0010196467527076036,,,
115008.54315550785,-0.0024238547388951703,,,
115317.6985259168,0.0026881078737857056,,,
115827.26080551157,0.004418769071082851,,,
115141.73345008506,-0.005918532050737224,,,
115032.8527688331,-0.0009456230854746339,,,
115631.67256026954,0.005205641493042146,,,
115915.41056069954,0.002453808668054336,,,
115999.06363700927,0.0007216734677906178,,,
114887.0623974728,-0.009586294963692232,,,
115196.38639641643,0.002692418036362332,,,
113719.07877010076,-0.01282425319516467,,,
114247.48670720402,0.004646607612531772,,,
113202.71837836533,-0.009144781727376206,,,
112380.07931179652,-0.007266955055083124,,,
112345.83023986935,-0.0003047610585159566,,,
111317.75009555205,-0.009151030724702913,,,
111197.29881777245,-0.0010820491581640113,,,
111089.62358175036,-0.0009683260040205255,,,
112845.24762262231,0.015803672604759456,,,
112424.61090535359,-0.0037275536731100622,,,
112304.43745994498,-0.0010689247171136174,,,
113127.76076233467,0.007331173380244582,,,
112925.746399805,-0.0017857187410796893,,,
112222.32543623359,-0.006229057464725574,,,
112573.1839237103,0.003126458894100015,,,
112556.76322930554,-0.00014586683819739488,,,
110711.78957005282,-0.0163914953337283,,,
110573.78005767537,-0.0012465656359942345,,,
109557.44007580135,-0.009191509789607366,,,
109257.95845214666,-0.00273355806276121,,,
110286.83567218592,0.009416954468263183,,,
112353.10243408267,0.018735388945589904,,,
112810.80848728328,0.004073817663104995,,,
113827.59943174821,0.00901324046959151,,,
114951.77479747527,0.009876122938014875,,,
115609.79374091915,0.005724304340695818,,,
114970.83724168577,-0.005526837117842076,,,
115221.8629824079,0.002183386211187077,,,
115157.31885033095,-0.0005601726131333473,,,
115284.22518815885,0.0011020258121225979,,,
115956.04076541898,0.0058274718519697455,,,
116610.2256963379,0.005641663225138593,,,
117966.03164842684,0.011626818694439045,,,
117775.33162668398,-0.001616567236161659,,,
117919.6733518158,0.001225568403316668,,,
117711.271879722,-0.0017673172437649987,,,
117280.69112596754,-0.003657939863180082,,,
116970.56472008335,-0.002644309160414915,,,
117307.3131637613,0.0028789161143558673,,,
118534.20302083119,0.010458767011031656,,,
117958.44239149346,-0.004857337499764025,,,
118724.39248537114,0.006493389352629331,,,
118821.09604065827,0.0008145213739378931,,,
118524.31725629346,-0.0024976943847013766,,,
118096.53989189232,-0.003609194925595971,,,
118868.81633153981,0.0065393655085446145,,,
119303.23291635599,0.0036545882950878017,,,
119804.68106915239,0.004203139684806123,,,
120418.90765254882,0.005126899699702925,,,
120450.78795340048,0.0002647449762926968,,,
120199.2269531182,-0.002088496095016046,,,
119408.16619322605,-0.006581246651450545,,,
120364.5276856222,0.00800917996553574,,,
119498.90780894125,-0.00719165266815025,,,
120019.23013030052,0.0043542014809974106,,,
119803.9067501625,-0.0017940739988437926,,,
120247.67119315107,0.0037040899168170327,,,
120035.54370264901,-0.0017640881390652563,,,
120301.37845568065,0.002214633639600727,,,
120186.01368123386,-0.0009589646929049067,,,
120462.50759191846,0.00230054980788319,,,
119195.27147774871,-0.010519755395285824,,,
117548.39937011381,-0.013816589259099454,,,
115569.1145638849,-0.01683804132455191,,,
114583.83877118882,-0.008525424776456458,,,
113904.2458483486,-0.005930966619099753,,,
115709.8341040399,0.015851808176626347,,,
116588.95413277329,0.0075976258676764274,,,
115952.05885681749,-0.005462741137813976,,,
115175.60188046747,-0.006696362134533729,,,
115417.45870966281,0.0020998963777618673,,,
114006.92922446739,-0.012221110228597842,,,
114796.2965455502,0.0069238538960085805,,,
116834.34659581163,0.017753621951146714,,,
