2026/05/08 17:11:56 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_163153_job74127_5c1ikwkh/summary.json: Copied (new)
2026/05/08 17:11:56 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_163153_job74127_5c1ikwkh/all_runs_metrics.csv: Copied (new)
2026/05/08 17:11:56 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_062011_job74124_5nwqr3ja/all_runs_metrics.csv: Copied (new)
2026/05/08 17:11:57 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_062011_job74124_5nwqr3ja/total_return_hist.png: Copied (new)
2026/05/08 17:11:57 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_163153_job74127_5c1ikwkh/total_return_hist.png: Copied (new)
2026/05/08 17:12:02 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_030122_job74123_eryaem4m/manifest.json: Copied (new)
2026/05/08 17:12:03 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260413_201351_job74121_gzd7n48c/all_runs_metrics.csv: Copied (new)
2026/05/08 17:12:03 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_030122_job74123_eryaem4m/summary.json: Copied (new)
2026/05/08 17:12:04 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260413_201351_job74121_gzd7n48c/manifest.json: Copied (new)
2026/05/08 17:12:04 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_030122_job74123_eryaem4m/total_return_hist.png: Copied (new)
2026/05/08 17:12:05 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_094321_job74125_jbo5sdvx/manifest.json: Copied (new)
2026/05/08 17:12:05 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_094321_job74125_jbo5sdvx/all_runs_metrics.csv: Copied (new)
2026/05/08 17:12:05 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_030122_job74123_eryaem4m/all_runs_metrics.csv: Copied (new)
2026/05/08 17:13:31 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_130918_job74126_62nqsn3t/manifest.json: Copied (new)
2026/05/08 17:13:34 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_195750_job74128_o_ywey2v/manifest.json: Copied (new)
2026/05/08 17:13:38 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_023409_job74130_ujrrbycv/all_runs_metrics.csv: Copied (new)
2026/05/08 17:13:41 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_195750_job74128_o_ywey2v/summary.json: Copied (new)
2026/05/08 17:13:44 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_195750_job74128_o_ywey2v/total_return_hist.png: Copied (new)
2026/05/08 17:13:46 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_023409_job74130_ujrrbycv/manifest.json: Copied (new)
2026/05/08 17:13:47 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_094321_job74125_jbo5sdvx/summary.json: Copied (new)
2026/05/08 17:13:47 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_130918_job74126_62nqsn3t/all_runs_metrics.csv: Copied (new)
2026/05/08 17:13:47 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260413_201351_job74121_gzd7n48c/summary.json: Copied (new)
2026/05/08 17:13:47 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_130918_job74126_62nqsn3t/total_return_hist.png: Copied (new)
2026/05/08 17:13:47 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_130918_job74126_62nqsn3t/summary.json: Copied (new)
2026/05/08 17:13:48 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260413_201351_job74121_gzd7n48c/total_return_hist.png: Copied (new)
2026/05/08 17:13:48 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_094321_job74125_jbo5sdvx/total_return_hist.png: Copied (new)
2026/05/08 17:13:49 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_023409_job74130_ujrrbycv/summary.json: Copied (new)
2026/05/08 17:13:50 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_191636_job74135_ysebkrl3/all_runs_metrics.csv: Copied (new)
2026/05/08 17:13:50 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_023409_job74130_ujrrbycv/total_return_hist.png: Copied (new)
2026/05/08 17:13:51 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_191636_job74135_ysebkrl3/summary.json: Copied (new)
2026/05/08 17:13:51 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_191636_job74135_ysebkrl3/manifest.json: Copied (new)
2026/05/08 17:13:52 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_191636_job74135_ysebkrl3/total_return_hist.png: Copied (new)
2026/05/08 17:13:52 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_055739_job74131_tpjgyzkc/all_runs_metrics.csv: Copied (new)
2026/05/08 17:13:53 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_055739_job74131_tpjgyzkc/summary.json: Copied (new)
2026/05/08 17:13:53 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_055739_job74131_tpjgyzkc/manifest.json: Copied (new)
2026/05/08 17:13:54 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_055739_job74131_tpjgyzkc/total_return_hist.png: Copied (new)
2026/05/08 17:13:55 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_163153_job74127_5c1ikwkh/runs/run_002test_result.csv: Copied (new)
2026/05/08 17:13:55 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_163153_job74127_5c1ikwkh/runs/run_001test_result.csv: Copied (new)
2026/05/08 17:13:55 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_163153_job74127_5c1ikwkh/runs/run_003test_result.csv: Copied (new)
2026/05/08 17:13:55 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_163153_job74127_5c1ikwkh/runs/run_005test_result.csv: Copied (new)
2026/05/08 17:13:55 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_163153_job74127_5c1ikwkh/runs/run_004test_result.csv: Copied (new)
2026/05/08 17:13:56 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_062011_job74124_5nwqr3ja/runs/run_001test_result.csv: Copied (new)
2026/05/08 17:13:57 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_062011_job74124_5nwqr3ja/runs/run_002test_result.csv: Copied (new)
2026/05/08 17:13:58 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_091734_job74132_bow7t52g/all_runs_metrics.csv: Copied (new)
2026/05/08 17:13:58 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_062011_job74124_5nwqr3ja/runs/run_005test_result.csv: Copied (new)
2026/05/08 17:13:59 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_062011_job74124_5nwqr3ja/runs/run_003test_result.csv: Copied (new)
2026/05/08 17:13:59 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_062011_job74124_5nwqr3ja/runs/run_004test_result.csv: Copied (new)
2026/05/08 17:14:00 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_091734_job74132_bow7t52g/manifest.json: Copied (new)
2026/05/08 17:14:00 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_091734_job74132_bow7t52g/summary.json: Copied (new)
2026/05/08 17:14:01 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_231549_job74129_qj7ppkrx/runs/run_001test_result.csv: Copied (new)
2026/05/08 17:14:01 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_231549_job74129_qj7ppkrx/runs/run_002test_result.csv: Copied (new)
2026/05/08 17:14:01 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_231549_job74129_qj7ppkrx/runs/run_004test_result.csv: Copied (new)
2026/05/08 17:14:01 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_091734_job74132_bow7t52g/total_return_hist.png: Copied (new)
2026/05/08 17:14:01 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_231549_job74129_qj7ppkrx/runs/run_003test_result.csv: Copied (new)
2026/05/08 17:14:02 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_231549_job74129_qj7ppkrx/runs/run_005test_result.csv: Copied (new)
2026/05/08 17:14:02 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_123453_job74133_kzz71nh_/all_runs_metrics.csv: Copied (new)
2026/05/08 17:14:04 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_123453_job74133_kzz71nh_/summary.json: Copied (new)
2026/05/08 17:14:04 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_123453_job74133_kzz71nh_/manifest.json: Copied (new)
