total_assets,daily_return
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
99891.54013015184,-0.0010845986984815426
99891.54013015184,0.0
99095.13098857299,-0.007972738637738397
100167.54928389573,0.010822108862708882
99881.95966189129,-0.0028511191902581556
99213.21419969943,-0.0066953578449563764
97537.94205078189,-0.016885574793953508
97384.15154201417,-0.0015767249701419406
97643.1892724684,0.002659957768821182
97658.14152441149,0.00015313153999280127
98007.68647541016,0.0035792709705753465
96007.54011546685,-0.020408056060430946
96512.18732571776,0.0052563289262902435
97978.80744115384,0.015196216727389984
97437.48806302593,-0.0055248618784529135
97437.48806302593,0.0
97785.41876090759,0.0035708093958312466
95498.8271255081,-0.023383768913342484
97045.42287895067,0.016194918827746208
98717.50149643267,0.01722985554473444
99037.72696726806,0.0032438571274714754
100337.67007768036,0.013125736527070553
104727.85558234334,0.04375411050769027
106501.1726140284,0.016932620474509497
107770.00971360687,0.011913832199546521
109813.35323156384,0.01896022393787533
110673.5100453881,0.007832898172323688
108693.76166047838,-0.01788818646935294
109400.01578603055,0.006497650966927282
106601.28838991269,-0.025582513640507454
107165.68126876607,0.0052944283073672604
107338.71653406335,0.0016146518479486227
109065.70911999566,0.0160891860988878
113968.48004429005,0.04495245081018342
113295.04403409454,-0.00590896719806925
114558.40035007033,0.011151028950530412
115847.59678364723,0.01125361762766719
124957.6217137243,0.0786380139338635
123178.16191083899,-0.014240506329113889
122493.88174455255,-0.005555206829451986
122190.82425579907,-0.002474062250598541
125547.04095760421,0.02746701090074588
127988.35172348071,0.019445386743132342
127886.83193515483,-0.0007931955288026371
127798.50206825024,-0.0006906877398401012
126400.82255983648,-0.01093658756397109
127528.94422291312,0.00892495507727109
124100.3101028981,-0.026885144708968745
123038.09930659353,-0.008559292039027389
122107.46937074538,-0.007563754163083614
119493.36399238196,-0.021408234826539703
119606.5151419883,0.0009469241288877647
119059.75357818851,-0.004571335960676726
117361.55561577417,-0.014263409014189812
118912.91250536698,0.013218612189086454
121690.63348713864,0.023359288097886566
120579.74945699988,-0.00912875542106667
120579.74945699988,0.0
118436.10946665323,-0.01777777777777767
119690.05739803133,0.010587547472007963
120427.83810816675,0.006164093544394567
122537.64606381087,0.017519271198318198
122784.10215393866,0.0020112683574765033
126284.52611885357,0.028508771929824483
125567.17069147127,-0.00568046972522307
134103.9667106982,0.06798589131392108
134372.07397143278,0.0019992492937434547
135074.947863095,0.005230803327569829
133033.42094899848,-0.015114030739184195
132001.92811295658,-0.0077536368581948385
130157.79303411217,-0.013970516228114127
128429.64219401346,-0.013277352049491153
130236.31457944652,0.014067409630432626
129427.58907762254,-0.006209677419354853
129205.67150125976,-0.001714607974577158
130485.40018951092,0.009904586024605644
129813.3899708265,-0.005150079761478521
131806.6916647513,0.015355131657626253
131007.455455205,-0.006063699797421163
132767.0622557984,0.01343134857844075
133162.24420227608,0.0029765059176823927
132037.9895292298,-0.008442743510229056
134595.78117836904,0.01937163431720538
146041.20175911655,0.08503550765517548
146041.20175911655,0.0
149102.29288102884,0.020960462424578608
149102.29288102884,0.0
149102.29288102884,0.0
149102.29288102884,0.0
149102.29288102884,0.0
149583.78575362632,0.0032292787944024903
149087.87382891637,-0.0033152786059763018
152548.3273800711,0.023210831721470093
152548.3273800711,0.0
153630.23041113542,0.007092198581560183
153630.23041113542,0.0
156971.12902126563,0.021746362035580693
158363.86305816998,0.008872549019607878
158494.49296058735,0.0008248719113992942
160366.71792057788,0.011812555282006587
160550.97447312076,0.0011489700290190363
162216.48406542608,0.010373712135793633
162738.64013001436,0.0032188841201716833
164683.62188313517,0.011951566951566961
163596.08853107673,-0.006603773584905603
169089.41701833773,0.033578605311321175
169281.56408313132,0.001136363636363713
171002.15191549252,0.01016405916190773
170120.69752417554,-0.005154639175257714
167648.3188031996,-0.014533085961657366
166056.79094122592,-0.009493252740827952
165364.68668621383,-0.00416787685158293
164479.74599549136,-0.005351449021287535
163165.09949198028,-0.007992756163103168
166825.61056941532,0.022434399812411965
164966.77001438328,-0.01114241721452347
164267.06737653806,-0.004241476254788934
165385.2300554168,0.0068069802227345155
170432.19716978396,0.030516431924882514
166974.15258952745,-0.020289855072463836
163022.1016406629,-0.023668639053254448
163209.91512181575,0.0011520737327188613
165987.78084888906,0.017020202020202047
161959.0174079228,-0.02427144588814001
167476.52457258804,0.0340673045130202
173366.1408560244,0.035166816952209246
172101.1902341608,-0.00729641102707655
174145.8940970545,0.011880823485948414
175749.65765282145,0.009209310182605679
173436.61143881181,-0.013161028276816755
174500.84089373273,0.006136129194938583
175662.2748277663,0.006655749783697845
175321.8083065839,-0.0019381880458750333
177482.85409771098,0.01232616644786173
172494.5314772864,-0.028105940969815224
174298.46500199608,0.010457917182999056
173806.57611402054,-0.002822106826757851
174265.53317708243,0.002640619666546876
173243.34877450898,-0.005865671678947249
174528.86300645783,0.007420280438137139
170558.19944152783,-0.02275075592959693
175236.31758037952,0.02742828051755708
175236.31758037952,0.0
174422.57039213172,-0.0046437131268438625
175648.9892888524,0.007031308470936285
172882.86347327993,-0.015748031496062964
173861.73023541828,0.005662023074309075
167645.51746904512,-0.035753772598236866
159026.60830104965,-0.05141150982212757
161381.9553842953,0.01481102507567041
164042.69086616216,0.016487193227588105
164105.22128546957,0.00038118381853674554
161306.83748766623,-0.017052375152253108
154079.41191259542,-0.04480545082674148
151849.87662184137,-0.014470040241449022
