total_assets,daily_return
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100991.89366725124,0.009918936672512313
100844.7834446,-0.001456653770013842
101332.43505094541,0.004835665164706321
97557.7093923895,-0.03725091237231343
92986.14837634575,-0.04686006922996068
96401.12412098116,0.03672563929429429
96739.36774210613,0.003508710341390575
96739.36774210613,0.0
98269.43956934572,0.015816434022171377
98269.43956934572,0.0
98269.43956934572,0.0
98269.43956934572,0.0
100842.28753975891,0.026181567552317486
100842.28753975891,0.0
100842.28753975891,0.0
96940.50351322707,-0.03869194285178712
98477.89287933217,0.01585910233997634
98477.89287933217,0.0
98477.89287933217,0.0
98477.89287933217,0.0
99812.41715959142,0.013551511321373333
101678.07531004028,0.018691643820886727
101969.81100572679,0.0028692094613016472
104012.26173330694,0.020029955017426104
104012.26173330694,0.0
104012.26173330694,0.0
104012.26173330694,0.0
104012.26173330694,0.0
104213.33493004584,0.0019331681994806762
104435.54078181482,0.002132220909331295
106512.8347831984,0.01989068075707512
105717.93365917113,-0.007462960925274875
105166.30128386235,-0.0052179640314122255
103981.68648700765,-0.011264205191140242
102812.61985566701,-0.011243005098659498
102547.69407262221,-0.002576782727808369
102027.64546675204,-0.005071285225603205
101198.76358014962,-0.008124091101098067
103149.43348488539,0.01927562981726375
103149.43348488539,0.0
103193.57664252783,0.00042795346664597264
104620.69309572518,0.013829508576304272
104620.69309572518,0.0
103315.06941227132,-0.012479593136123124
107260.61415843076,0.03818944098479035
107244.9440878163,-0.00014609342616034304
107432.8094951806,0.0017517413894165834
107432.8094951806,0.0
108607.97087436233,0.010938570672253123
107674.64529045233,-0.008593527495230235
107845.5455901903,0.0015871916668679376
106706.43589977488,-0.010562417614761843
104644.29823634283,-0.019325335403095334
104674.53051055738,0.00028890512645304844
104957.34476816001,0.002701844051491609
101827.63966598736,-0.02981882886886905
101936.42436715565,0.0010683219362162544
101674.74807256732,-0.0025670538888613037
105351.66672185968,0.03616353833174067
105829.2886952195,0.0045335967452777015
105872.3086255113,0.0004065030656655866
108296.43786307995,0.022896725962056996
109617.76404573016,0.012201012412991648
113037.4240454216,0.0311962210638127
113037.4240454216,0.0
113051.28328545025,0.0001226075359173906
115634.45722590042,0.022849576452199573
115753.10147755581,0.0010260285255944135
115551.01695400513,-0.001745823835138216
115340.62326851599,-0.0018207860998132874
115569.46366138571,0.00198403984983649
115953.04184247102,0.0033190270936029886
117164.04380038643,0.010443899863882833
118234.66349236829,0.009137783719772363
118234.66349236829,0.0
119264.57703215846,0.00871075799066856
119264.57703215846,0.0
118174.50572320937,-0.009139941934772225
120365.34372690688,0.018539007125859503
120365.34372690688,0.0
120365.34372690688,0.0
122966.90943505432,0.021613910014248172
124540.80724498654,0.012799360552876893
122418.32823073835,-0.017042438227279355
123272.50933964862,0.006977559008159995
122528.84527262469,-0.006032683775219816
121955.89874678153,-0.004676013428253301
122013.88761975039,0.0004754905139050206
121161.66177948088,-0.006984662622384574
122546.41050235581,0.011428934718601291
121304.41178573004,-0.010134925303274311
121255.43992886014,-0.0004037104351687913
121722.92795132542,0.0038553983453406995
122320.22750771066,0.004907042300396254
121984.00548414257,-0.002748703386338036
121338.4384619867,-0.005292226793124799
122622.8442732936,0.010585316801396405
123590.68417877298,0.007892818921426514
118937.1892653776,-0.037652473115725615
119976.1847034021,0.008735664971082024
119754.50238472297,-0.0018477193555301117
119327.59478272151,-0.003564856381182072
120005.14601327004,0.005678076657643694
118680.40831046147,-0.011039007466080514
122808.19359417957,0.03478067983150204
123262.62499764703,0.00370033456374369
125097.89561432583,0.014889108654905336
125097.89561432583,0.0
125097.89561432583,0.0
124800.55228422358,-0.002376885147764074
124426.02355589016,-0.0030010181964615634
123776.27365072019,-0.00522197757833287
123912.78804460299,0.0011029124553226057
123905.25613384733,-6.078396648567818e-05
123581.8044427174,-0.00261047594930545
123879.69249795156,0.0024104523847784387
122667.3064149813,-0.00978680248976497
123334.20043004243,0.005436607638591495
122812.47014161764,-0.0042302158412315105
124835.04727196359,0.01646882542150374
124101.25318599967,-0.005878109569384726
129497.2290210124,0.043480429862584824
127003.87902894604,-0.019254079881985575
127426.28022914624,0.0033258921178614736
124229.34568210856,-0.02508850247601002
126335.13608964406,0.016950829097369963
126677.87277994305,0.002712916619299066
127640.57250444581,0.007599588652511424
128651.45135474851,0.00791972983564837
128413.754788782,-0.0018476011227504714
128032.75532878654,-0.0029669676789851884
128482.21553446176,0.00351050951392089
128033.72484474975,-0.003490683032249864
127508.80990120888,-0.0040998177954860715
126985.30965842734,-0.004105600571341905
127594.21989690818,0.004795123468365858
128716.64789709024,0.008796856167065714
129431.70955709604,0.00555531605031756
132386.57728304912,0.0228295503170311
132030.56564610646,-0.00268918227398135
131904.03383029185,-0.000958352448127431
132809.53517744673,0.006864849549028329
131999.2611585087,-0.006101022926218391
131536.53088246394,-0.0035055520158489006
131596.13390850325,0.00045312907098460364
132023.59498474767,0.003248279896593542
132077.9327977461,0.0004115765292158069
131649.83871657998,-0.0032412233603145526
131325.40879430762,-0.0024643396865134393
130101.07219784915,-0.009322922408534995
129945.75204257782,-0.001193842238556897
130098.0279982383,0.0011718425055603499
130192.64836291443,0.000727300529700603
131514.15955451422,0.01015042867793936
131194.3023171438,-0.002432112545553311
130993.07266281739,-0.001533829219503458
134404.3357729766,0.026041553502145764
134082.76758580087,-0.002392543256334201
