index,date,tic,open,high,low,close,adjcp,zopen,zhigh,zlow,zadjcp,zclose,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30,volume
0,2008-03-03,AC,421.374,421.374,409.2655,411.6872,411.6872,0.023529514641213112,0.023529514641213112,-0.005882378660303389,0.0,0.011764757320606556,0.02909073254136607,0.03062500532298862,0.008695604594776807,0.028025550413303124,0.001728331179869702,0.017819733231943635,1301617.0
0,2008-03-03,AEV,6.9,7.0,6.9,7.0,7.0,-0.014285714285714235,0.0,-0.014285714285714235,0.0,0.011764757320606556,0.02909073254136607,0.03062500532298862,0.008695604594776807,0.028025550413303124,0.001728331179869702,0.017819733231943635,455000.0
0,2008-03-03,AGI,4.35,4.4,4.3,4.35,4.35,0.0,0.011494252873563315,-0.011494252873563204,0.0,0.011764757320606556,0.02909073254136607,0.03062500532298862,0.008695604594776807,0.028025550413303124,0.001728331179869702,0.017819733231943635,1439000.0
0,2008-03-03,ALI,12.0,12.25,11.75,12.0,12.0,0.0,0.02083333333333326,-0.02083333333333337,0.0,0.011764757320606556,0.02909073254136607,0.03062500532298862,0.008695604594776807,0.028025550413303124,0.001728331179869702,0.017819733231943635,17361000.0
0,2008-03-03,AP,4.8,4.8,4.8,4.8,4.8,0.0,0.0,0.0,0.0,0.011764757320606556,0.02909073254136607,0.03062500532298862,0.008695604594776807,0.028025550413303124,0.001728331179869702,0.017819733231943635,3303000.0
0,2008-03-03,BDO,37.0131,37.369,37.0131,37.0131,37.0131,0.0,0.009615514507025802,0.0,0.0,0.011764757320606556,0.02909073254136607,0.03062500532298862,0.008695604594776807,0.028025550413303124,0.001728331179869702,0.017819733231943635,2982761.0
0,2008-03-03,BLOOM,2.8,2.8,2.8,2.8,2.8,0.0,0.0,0.0,0.0,0.011764757320606556,0.02909073254136607,0.03062500532298862,0.008695604594776807,0.028025550413303124,0.001728331179869702,0.017819733231943635,2000.0
0,2008-03-03,BPI,54.9999,55.5,54.4999,54.9999,54.9999,0.0,0.009092743804988812,-0.009090925619864798,0.0,0.011764757320606556,0.02909073254136607,0.03062500532298862,0.008695604594776807,0.028025550413303124,0.001728331179869702,0.017819733231943635,4314661.0
0,2008-03-03,CNVRG,16.78,16.8,14.92,15.22,15.22,0.10249671484888312,0.10381077529566363,-0.019710906701708275,0.0,0.011764757320606556,0.02909073254136607,0.03062500532298862,0.008695604594776807,0.028025550413303124,0.001728331179869702,0.017819733231943635,229736797.0
0,2008-03-03,DMC,1.6,1.6,1.6,1.6,1.6,0.0,0.0,0.0,0.0,0.011764757320606556,0.02909073254136607,0.03062500532298862,0.008695604594776807,0.028025550413303124,0.001728331179869702,0.017819733231943635,7770000.0
0,2008-03-03,FB,55.0,55.0,55.0,55.0,55.0,0.0,0.0,0.0,0.0,0.011764757320606556,0.02909073254136607,0.03062500532298862,0.008695604594776807,0.028025550413303124,0.001728331179869702,0.017819733231943635,1180.0
0,2008-03-03,GLO,1449.9998,1449.9998,1419.9998,1429.9998,1429.9998,0.013986015942100138,0.013986015942100138,-0.006993007971050069,0.0,0.011764757320606556,0.02909073254136607,0.03062500532298862,0.008695604594776807,0.028025550413303124,0.001728331179869702,0.017819733231943635,70716.0
